case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-3461/2024 ~ М-2116/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350835&case_uid=6ec55cd4-8955-41a3-b85e-eb9733a853a6&delo_id=1540005,11.11.2024,Кралинина Наталья Геннадьевна,10.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.01.2025,,41
2-3640/2024 ~ М-2115/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350823&case_uid=1e4b5b2f-11ed-4987-8670-29d4bd043edf&delo_id=1540005,11.11.2024,Мяконькая Татьяна Александровна,23.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.01.2025,,41
2-190/2025 (2-3555/2024;) ~ М-2114/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350790&case_uid=d6bde7d1-922b-4a9c-8084-83782451ee04&delo_id=1540005,11.11.2024,Сазонова Юлия Юрьевна,09.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.02.2025,,41
2-3439/2024 ~ М-2113/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350753&case_uid=b502a796-a5bb-4734-8c30-31875cada0dd&delo_id=1540005,11.11.2024,Романов Дмитрий Сергеевич,05.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.01.2025,,41
2-3463/2024 ~ М-2112/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350702&case_uid=fda5e125-710b-45d5-9e89-add4cb5de067&delo_id=1540005,11.11.2024,Кралинина Наталья Геннадьевна,10.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.01.2025,,41
2-3639/2024 ~ М-2111/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350692&case_uid=195bdfc4-a5c8-429d-98c8-56d7521594f1&delo_id=1540005,11.11.2024,Мяконькая Татьяна Александровна,23.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.01.2025,,42
2-194/2025 (2-3559/2024;) ~ М-2110/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350683&case_uid=6b244d7d-6d3f-4561-988c-656702b81437&delo_id=1540005,11.11.2024,Сазонова Юлия Юрьевна,09.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.02.2025,,42
2-3438/2024 ~ М-2109/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350670&case_uid=31f31a99-8d42-4adc-9471-0b28c1634206&delo_id=1540005,11.11.2024,Романов Дмитрий Сергеевич,05.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.01.2025,,42
2-3460/2024 ~ М-2108/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5350643&case_uid=8353737c-04d5-4589-86d2-37906ff3e297&delo_id=1540005,11.11.2024,Кралинина Наталья Геннадьевна,10.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.01.2025,,42
2-3410/2024 ~ М-2034/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5354054&case_uid=6368302e-bf61-4a91-882d-19f904351326&delo_id=1540005,05.11.2024,Мяконькая Татьяна Александровна,24.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.01.2025,,42
2-3753/2024 ~ М-2033/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5354044&case_uid=ab5d0563-9535-4dc6-815b-7eb28a3bc517&delo_id=1540005,05.11.2024,Романов Дмитрий Сергеевич,04.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.01.2025,,42
2-3752/2024 ~ М-2032/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5354022&case_uid=ed922475-ef47-450d-ab29-cd9cec173dc4&delo_id=1540005,05.11.2024,Романов Дмитрий Сергеевич,04.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.01.2025,,42
2-3751/2024 ~ М-2031/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5353976&case_uid=fe889ab3-df8d-41ff-b016-474c86112029&delo_id=1540005,05.11.2024,Романов Дмитрий Сергеевич,04.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.01.2025,,42
2-3409/2024 ~ М-2030/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5353904&case_uid=9968ee76-b54a-4a62-8dc2-3e5dd8f73598&delo_id=1540005,05.11.2024,Мяконькая Татьяна Александровна,24.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.01.2025,,42
2-3365/2024 ~ М-2029/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5353867&case_uid=93daab53-d53a-4b7f-917a-5120d8fb955e&delo_id=1540005,05.11.2024,Сазонова Юлия Юрьевна,25.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.01.2025,,42
2-3498/2024 ~ М-2028/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5353817&case_uid=ff14acbe-3bdc-4577-b53d-3a8fb03e8802&delo_id=1540005,05.11.2024,Кралинина Наталья Геннадьевна,10.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.01.2025,,42
2-3366/2024 ~ М-2027/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5353808&case_uid=9d11ded2-0360-404f-8a65-189c1823c55b&delo_id=1540005,05.11.2024,Сазонова Юлия Юрьевна,25.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.01.2025,,42
2-3412/2024 ~ М-2024/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5353184&case_uid=8f3263f3-8b65-4945-b523-5cb9e38727c7&delo_id=1540005,02.11.2024,Мяконькая Татьяна Александровна,24.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.01.2025,,42
