case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-827/2025 ~ М-683/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608089&case_uid=376d8353-dc30-48c9-bbae-7898bce98000&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",20.11.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=21046266&delo_id=1540005&new=0&text_number=1,8
2-826/2025 ~ М-682/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608084&case_uid=a6a8f2c8-56fd-448a-95e7-627f85a798b6&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20974202&delo_id=1540005&new=0&text_number=1,8
2-825/2025 ~ М-681/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608079&case_uid=b3e1294d-01bc-4403-9692-798d55601af4&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20974205&delo_id=1540005&new=0&text_number=1,8
2-803/2025 ~ М-659/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11118596&case_uid=26e7c8d9-ba8e-4938-aefc-a4c0dc202bbc&delo_id=1540005,13.08.2025,Шемигон Ирина Викторовна,16.10.2025,Дело присоединено к другому делу,,,8
2-802/2025 ~ М-658/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11118591&case_uid=83e8fde9-c2e0-4c92-99a9-63c16ff6207a&delo_id=1540005,13.08.2025,Шемигон Ирина Викторовна,16.10.2025,Дело присоединено к другому делу,,,8
2-801/2025 ~ М-657/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11118586&case_uid=5bcf9e16-889e-4bc5-bba0-396eca75f35a&delo_id=1540005,13.08.2025,Попова Инна Константиновна,13.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,8
2-800/2025 ~ М-656/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11118581&case_uid=056853d7-2502-449f-83de-5c580b094874&delo_id=1540005,13.08.2025,Попова Инна Константиновна,13.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,9
2-799/2025 ~ М-655/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11118576&case_uid=ec2ea8e9-97cc-4fe7-ade5-082eb90ac850&delo_id=1540005,13.08.2025,Попова Инна Константиновна,13.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,9
2-798/2025 ~ М-654/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11118571&case_uid=469fd2a5-5173-41f8-8843-1e0da1436248&delo_id=1540005,13.08.2025,Попова Инна Константиновна,13.11.2025,Производство по делу ПРЕКРАЩЕНО,05.12.2025,,9
2-797/2025 ~ М-653/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11118566&case_uid=74e4886a-21f1-4ce1-8c81-bf1ef3e4493f&delo_id=1540005,13.08.2025,Попова Инна Константиновна,13.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",30.12.2025,,9
