case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-696/2025 ~ М-651/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025710&case_uid=adce39c8-c793-4ff6-8187-10dd9033f675&delo_id=1540005,15.04.2025,Федько Светлана Павловна,11.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.07.2025,,5
2-708/2025 ~ М-650/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025698&case_uid=97d4025f-ccbf-4f13-a48b-0381a1545088&delo_id=1540005,15.04.2025,Андреева Светлана Анатольевна,11.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",15.07.2025,,5
2-707/2025 ~ М-649/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025686&case_uid=81caab86-5fb7-41d7-ab04-a45ed975de90&delo_id=1540005,15.04.2025,Андреева Светлана Анатольевна,09.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.07.2025,,5
2-706/2025 ~ М-648/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025668&case_uid=62cb0b54-ab88-4006-8385-7bc83768b7bf&delo_id=1540005,15.04.2025,Андреева Светлана Анатольевна,09.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.06.2025,,5
2-716/2025 ~ М-647/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025653&case_uid=a236f9ba-e025-4e19-8e7c-bbeb65a8c12b&delo_id=1540005,15.04.2025,Скичко Елена Викторовна,28.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.07.2025,,5
2-691/2025 ~ М-646/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025641&case_uid=83b1ab34-ed6e-4624-8adb-63e990ed1d81&delo_id=1540005,15.04.2025,Федько Светлана Павловна,02.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.07.2025,,5
2-705/2025 ~ М-645/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025628&case_uid=6d90a93b-8d89-4759-97c5-2958d7a42bc0&delo_id=1540005,15.04.2025,Андреева Светлана Анатольевна,09.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.07.2025,,5
2-692/2025 ~ М-644/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025616&case_uid=ac9df9dd-664d-48f6-9d1d-19059c4d0924&delo_id=1540005,15.04.2025,Федько Светлана Павловна,02.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.07.2025,,5
2-693/2025 ~ М-643/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025588&case_uid=3866155b-ed79-4bf3-8270-c256343dfa1a&delo_id=1540005,15.04.2025,Федько Светлана Павловна,02.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.07.2025,,5
2-694/2025 ~ М-642/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025552&case_uid=8b813794-5324-4e1c-893a-74b65fd571f7&delo_id=1540005,15.04.2025,Федько Светлана Павловна,29.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",08.07.2025,,5
2-715/2025 ~ М-641/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025539&case_uid=60756c10-3899-4516-a09a-5223fea76f0a&delo_id=1540005,15.04.2025,Скичко Елена Викторовна,28.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.07.2025,,5
2-713/2025 ~ М-640/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025523&case_uid=b1c8e354-dd07-4084-8511-fa4b659c0c8a&delo_id=1540005,15.04.2025,Скичко Елена Викторовна,28.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.07.2025,,5
2-714/2025 ~ М-639/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025510&case_uid=3ca19419-25b9-47d0-a15b-ba6b384d852b&delo_id=1540005,15.04.2025,Скичко Елена Викторовна,28.05.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",13.06.2025,,5
2-704/2025 ~ М-638/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025499&case_uid=2ca63480-78a3-4cc2-ab7e-f138f98bf05c&delo_id=1540005,15.04.2025,Андреева Светлана Анатольевна,11.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",15.07.2025,,5
2-712/2025 ~ М-637/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025476&case_uid=33ca8044-6532-4638-9300-25c93802da82&delo_id=1540005,15.04.2025,Скичко Елена Викторовна,28.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.07.2025,,5
2-703/2025 ~ М-636/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025438&case_uid=723cb56a-a998-4d52-83fb-b8d4ecb12c12&delo_id=1540005,15.04.2025,Андреева Светлана Анатольевна,09.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.07.2025,,5
2-695/2025 ~ М-635/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025426&case_uid=3b31bae2-34df-43fe-aa2d-ef009d3b74cc&delo_id=1540005,15.04.2025,Федько Светлана Павловна,29.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",08.07.2025,,5
