case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-25/2025 (2-385/2024;) ~ М-340/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184488&case_uid=df8e800e-395b-441b-91c6-028b74e50c5c&delo_id=1540005,07.11.2024,Бойко Николай Иванович,21.01.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",06.02.2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=16934719&delo_id=1540005&new=0&text_number=1,8
2-31/2025 (2-394/2024;) ~ М-336/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184440&case_uid=26c7a4df-9e5b-41f2-8f0e-95bff476ffb6&delo_id=1540005,07.11.2024,Чинёнов Александр Викторович,16.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.02.2025,,8
2-30/2025 (2-393/2024;) ~ М-335/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184427&case_uid=0ea1bb63-1f7e-4d96-979a-cbd8f1568cac&delo_id=1540005,07.11.2024,Чинёнов Александр Викторович,21.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,,8
2-24/2025 (2-381/2024;) ~ М-334/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184413&case_uid=6c3bb7ab-8710-41ec-84a5-9a9c44035872&delo_id=1540005,07.11.2024,Бойко Николай Иванович,23.01.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",10.02.2025,,8
2-19/2025 (2-368/2024;) ~ М-314/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184278&case_uid=9fb6bb24-1f70-453d-bd1e-769a0c43bb6f&delo_id=1540005,28.10.2024,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,8
2-18/2025 (2-366/2024;) ~ М-312/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184251&case_uid=b1ee757d-947c-415e-95cb-5505f969864b&delo_id=1540005,28.10.2024,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",01.04.2025,,8
2-17/2025 (2-365/2024;) ~ М-311/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184197&case_uid=841ce8a6-871c-421b-9a30-7f2d71953348&delo_id=1540005,28.10.2024,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,8
2-16/2025 (2-347/2024;) ~ М-295/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184080&case_uid=be691ea0-21b4-4641-b056-e7d8b7bd8905&delo_id=1540005,11.10.2024,Бойко Николай Иванович,10.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.02.2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=14957112&delo_id=1540005&new=0&text_number=1,8
2-15/2025 (2-340/2024;) ~ М-291/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184019&case_uid=1916e53f-487c-4d5c-b847-6e43786a6ed3&delo_id=1540005,11.10.2024,Чинёнов Александр Викторович,28.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,8
2-14/2025 (2-338/2024;) ~ М-288/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2183965&case_uid=88eb17ad-d968-4313-a29e-bf45b0394d2f&delo_id=1540005,11.10.2024,Чинёнов Александр Викторович,10.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.02.2025,,9
2-13/2025 (2-337/2024;) ~ М-287/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2183937&case_uid=fc31b174-7d39-42a4-ad40-bd0b75ac9d3a&delo_id=1540005,11.10.2024,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,9
2-12/2025 (2-336/2024;) ~ М-286/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2183905&case_uid=4af5d650-00a4-4eed-9ff3-0d0be6d1a6a4&delo_id=1540005,11.10.2024,Чинёнов Александр Викторович,10.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.02.2025,,9
2-11/2025 (2-335/2024;) ~ М-285/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2183894&case_uid=b8487377-5ef3-4c54-8de5-5d7b7eeb5587&delo_id=1540005,11.10.2024,Чинёнов Александр Викторович,10.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.02.2025,,9
2-10/2025 (2-334/2024;) ~ М-282/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2183859&case_uid=9034050c-e8e0-48c5-847c-2ca4de38c7c4&delo_id=1540005,11.10.2024,Чинёнов Александр Викторович,10.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.02.2025,,9
2-9/2025 (2-333/2024;) ~ М-281/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2183832&case_uid=738ae46b-6a07-4e82-a4d8-5e34971c45cc&delo_id=1540005,11.10.2024,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.04.2025,,9
2-8/2025 (2-321/2024;) ~ М-270/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184004&case_uid=1304dc81-bdc1-4b93-84ba-87e790509ae4&delo_id=1540005,25.09.2024,Чинёнов Александр Викторович,28.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,9
2-7/2025 (2-320/2024;) ~ М-269/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2183989&case_uid=dcfa8440-9f4d-499e-b913-e17a8fa34b4a&delo_id=1540005,25.09.2024,Чинёнов Александр Викторович,28.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,9
